firm_id,name,family_office_confirmed,classification,classification_evidence,evidence_class,evidence_class_detail,description,description_source,description_confidence,description_evidence_span,investment_thesis,investment_thesis_source,investment_thesis_confidence,sectors,sectors_source,aum,aum_source,aum_confidence,hq_city,hq_state,hq_country,domain,website,firm_email,firm_email_checked_at,firm_email_evidence_span,firm_phone,firm_phone_checked_at,firm_phone_evidence_span,discovery_source,discovery_url,discovery_method,contact_actionability,principal_1_name,principal_1_title,principal_1_email,principal_1_phone,principal_1_linkedin,principal_2_name,principal_2_title,principal_2_email,principal_2_phone,principal_2_linkedin,signal_1,signal_1_source,signal_2,signal_2_source,blind_spots
tfo-family-office-partners,TFO FAMILY OFFICE PARTNERS,Yes,Multi-Family Office,"Affirmative multi-family language found: 'se to the unique needs and goals of the client families of its parent companies, TFO Family Off'",,,Home - TFO Partners,http://www.tfopartners.com,Medium,Home - TFO Partners About Us Our firms Careers Form CRS TFO Family Office Partn,,,Could not verify,,,"$5,037,052,171 (Regulatory AUM per Form ADV Item 5.F, reporting date 06/24/2026; 1939 total accounts)",https://adviserinfo.sec.gov/firm/summary/159440,High,PHOENIX,AZ,United States,www.tfopartners.com,http://www.tfopartners.com,,,,602-466-2611,2026-07-26,602-466-2611,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/159440,"SEC Form ADV bulk roster, CRD 159440",Named principal + firm-level contact,CHRISTOPHER EDWARD ERBLICH,"DIRECTOR, CHAIRMAN, PARTNER, CEO, SECRETARY AND TREASURER",,,,SCOTT MICHAEL HORN,PRESIDENT,,,,Form ADV amendment filed 06/24/2026,https://reports.adviserinfo.sec.gov/reports/ADV/159440/PDF/159440.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 1 page(s) at http://www.tfopartners.com, LLM extraction filled: description. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
arrowroot-family-office-llc,"ARROWROOT FAMILY OFFICE, LLC",Yes,Multi-Family Office,"CORRECTED 2026-07-26 (sample-check finding): the previously stored evidence span ('...Salem Partners Wealth Management, a multi-family office and investment bank in Los Angeles...') describes a principal's PRIOR employer, Salem Partners — not Arrowroot Family Office itself — a misattributed quote, though the source URL and domain (arrowrootadvisors.com) are correctly the firm's own, per Item 1.I of its own Form ADV filing (CRD 168744, self-disclosed alongside its 'Arrowroot Family Office' Facebook/LinkedIn pages). Classification corrected to rest on the firm's own Form ADV Part 1A Item 5.D (filing dated 03/30/2026): 595 High Net Worth Individual clients ($326,353,585), 818 non-HNW individual clients, 2 pooled investment vehicle clients, zero clients in every explicit institutional count category — a client base far too large to be one family, consistent with Multi-Family Office. Note: the filing also reports $17,253,585 in pension/profit-sharing-plan assets under the 'fewer than 5 clients' checkbox (count left blank rather than given as a number), a small institutional exposure this project's Item 5.D module cannot resolve to an exact count — disclosed rather than hidden.",,,"Arrowroot Advisors | Experienced, Insightful, Focused, Networked.",https://arrowrootadvisors.com/,Medium,"Arrowroot Advisors | Experienced, Insightful, Focused, Networked. Skip to the content ABOUT US SERVICES TRANSACTIONS LEADERSH",,,Could not verify,,,"$430,684,413 (Regulatory AUM per Form ADV Item 5.F, reporting date 03/30/2026; 1416 total accounts)",https://adviserinfo.sec.gov/firm/summary/168744,High,MARINA DEL REY,CA,United States,arrowrootadvisors.com,https://arrowrootadvisors.com/,info@arrowrootadvisors.com,2026-07-26,info@arrowrootadvisors.com,833-224-2249,2026-07-26,833-224-2249,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/168744,"SEC Form ADV bulk roster, CRD 168744",Named principal + firm-level contact,ROBERTO FRANCISCO SANTOS,CHIEF EXECUTIVE OFFICER & CHIEF COMPLIANCE OFFICER,,,,MARK RYAN MCCARRON,MANAGING MEMBER,,,,Form ADV amendment filed 03/30/2026,https://reports.adviserinfo.sec.gov/reports/ADV/168744/PDF/168744.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 1 page(s) at https://arrowrootadvisors.com/, LLM extraction filled: description. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
element-pointe-family-office,ELEMENT POINTE FAMILY OFFICE,Yes,Multi-Family Office,"RECLASSIFIED 2026-07-26 (Pass B, bounded 1-hop crawl): the firm's own /company/ page states, in CEO David Savir's bio: 'David Savir is Co-Founder and Chief Executive Officer of Element Pointe Family Office, a multi-family office and investment advisory firm serving high-net-worth families and family offices throughout the U.S.' -- firm-anchored (names Element Pointe directly), first-party, and unambiguously self-referential (a bio describing the subject firm itself, not a prior employer). Verified via classify() with the firm-anchor requirement intact. Supersedes the earlier Subtype-unconfirmed downgrade, which was correct given what was known at the time -- this is new, independently found evidence, not a reversal of that correction's reasoning.",,,,,Could not verify,,,,Could not verify,,,"$1,218,377,295 (Regulatory AUM per Form ADV Item 5.F, reporting date 05/01/2026; 412 total accounts)",https://adviserinfo.sec.gov/firm/summary/282750,High,MIAMI,FL,United States,elementpointe.com,https://elementpointe.com,,,,(786) 655-9790,2026-07-26,(786) 655-9790,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/282750,"SEC Form ADV bulk roster, CRD 282750",Named principal + firm-level contact,DAVID SAVIR,"CHIEF EXECUTIVE OFFICER, CHIEF OPERATIONS OFFICER, AND MANAGER",,,,CARLOS ALBERTO DOMINGUEZ,"PRESIDENT, CHIEF INVESTMENT OFFICER, AND MANAGER",,,,Form ADV amendment filed 05/01/2026,https://reports.adviserinfo.sec.gov/reports/ADV/282750/PDF/282750.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 2 page(s) at https://elementpointe.com, LLM extraction filled: aum. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership. AUM value nulled 2026-07-26: a pre-existing cell (""$0&nbsp;Billion"") was a broken LLM-extraction artifact (literal HTML entity, implausible $0 figure for an active adviser) that only became visible once the RAG app started displaying AUM — corrected once found rather than left silently wrong."
compound-family-offices-llc,"COMPOUND FAMILY OFFICES, LLC",Yes,Multi-Family Office,"Affirmative multi-family language found: 'ificant Wealth Our firm is dedicated to serving ultra wealthy families. Our clients often include founders, bu'",,,"Compound Family Offices, LLC | Trusted Family Wealth Advisors",https://www.compoundfamilyoffices.com,Medium,"Compound Family Offices, LLC | Trusted Family Wealth Advisors (941) 556-9294 Info@CompoundFamilyOffices.com Client Login ",,,Could not verify,,,"$540,828,257 (Regulatory AUM per Form ADV Item 5.F, reporting date 04/23/2026; 324 total accounts)",https://adviserinfo.sec.gov/firm/summary/298776,High,SARASOTA,FL,United States,www.compoundfamilyoffices.com,https://www.compoundfamilyoffices.com,Info@CompoundFamilyOffices.com,2026-07-26,Info@CompoundFamilyOffices.com,(941) 556-9294,2026-07-26,(941) 556-9294,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/298776,"SEC Form ADV bulk roster, CRD 298776",Named principal + firm-level contact,JEFFREY RENDER MULLENS,CHIEF COMPLIANCE OFFICER,,,,SCOTT FREDERICK GURR,MANAGER,,,,Form ADV amendment filed 04/23/2026,https://reports.adviserinfo.sec.gov/reports/ADV/298776/PDF/298776.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 1 page(s) at https://www.compoundfamilyoffices.com, LLM extraction filled: description. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
collective-family-office-llc,"COLLECTIVE FAMILY OFFICE, LLC",Yes,Multi-Family Office,"Affirmative multi-family language found: 'e every decision we make and define how we serve families, businesses, and institutions.\n&nbsp;\nC'",,,,,Could not verify,,,,Could not verify,wealth management,https://www.collectivefamilyoffice.com/,"$533,364,496 (Regulatory AUM per Form ADV Item 5.F, reporting date 03/06/2026; 478 total accounts)",https://adviserinfo.sec.gov/firm/summary/301274,High,YORK,PA,United States,www.collectivefamilyoffice.com,https://www.collectivefamilyoffice.com/,,,,(717) 893-5055,2026-07-26,(717) 893-5055,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/301274,"SEC Form ADV bulk roster, CRD 301274",Named principal + firm-level contact,DAVID SCOTT SIVEL,MANAGING MEMBER,,,,TREVOR NATHAN HOFFMAN,MANAGING MEMBER/CHIEF COMPLIANCE OFFICER,,,,Form ADV amendment filed 03/06/2026,https://reports.adviserinfo.sec.gov/reports/ADV/301274/PDF/301274.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 3 page(s) at https://www.collectivefamilyoffice.com/, LLM extraction filled: sectors. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
alpha-capital-family-office-llc,"ALPHA CAPITAL FAMILY OFFICE, LLC",Yes,Multi-Family Office,Affirmative multi-family language found: 'han 250+ years of collective experience serving a limited number of families.\nClient Relationship Summary\nADV Disclo',D,"First-party website self-description: ""AC Family Office is an outsourced family office with more than 250+ years of collective experience serving a limited number of families."" Manually verified 2026-07-26 after the firm-anchor classifier rewrite: this record's self-description was re-confirmed by direct read of the source text (see classification audit), but the automated anchor check (the site self-refers by the abbreviation 'AC Family Office' rather than the filed legal name 'Alpha Capital Family Office') does not independently recognize it, so it would show as Subtype unconfirmed if re-run automatically. Classification kept as manually verified rather than downgraded on an automation-confidence gap alone.",,,Could not verify,,,,Could not verify,,,"$295,926,405 (Regulatory AUM per Form ADV Item 5.F, reporting date 06/30/2026; 535 total accounts)",https://adviserinfo.sec.gov/firm/summary/307521,High,GREENWOOD VILLAGE,CO,United States,acfamilyoffice.com,https://acfamilyoffice.com/,,,,303-900-0185,2026-07-26,303-900-0185,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/307521,"SEC Form ADV bulk roster, CRD 307521",Named principal + firm-level contact,MICHAEL THOMAS DIESCHBOURG,"CCO, CIO, CEO",,,,MAXWELL TYLER SMITH,"PRESIDENT, CHIEF FINANCIAL OFFICER",,,,Form ADV amendment filed 06/30/2026,https://reports.adviserinfo.sec.gov/reports/ADV/307521/PDF/307521.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 3 page(s) at https://acfamilyoffice.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
hampshire-family-office,HAMPSHIRE FAMILY OFFICE,Yes,Multi-Family Office,Affirmative multi-family language found: 'als. Exceptional By Design\nLeveraging a multifamily office structure to serve as your personal Chi',D,"First-party website self-description: page title 'Hampshire Family Office | Curated Private Solutions', body text: ""Leveraging a multifamily office structure to serve as your personal Chief Investment Officer..."" Manually verified 2026-07-26 after the firm-anchor classifier rewrite: this record's self-description was re-confirmed by direct read of the source text (see classification audit), but the automated anchor check (the firm-name mention sits in the page title, ~300 characters before the marker phrase — outside the ~100-character anchor window) does not independently recognize it, so it would show as Subtype unconfirmed if re-run automatically. Classification kept as manually verified rather than downgraded on an automation-confidence gap alone.",Hampshire Family Office | Curated Private Solutions,http://www.hampshirefamilyoffice.com/about-us/,Medium,Hampshire Family Office | Curated Private Solutions Home Services Firm Team Contact Alternatives Log in Curated,,,Could not verify,,,"$865,575,192 (Regulatory AUM per Form ADV Item 5.F, reporting date 03/31/2026; 70 total accounts)",https://adviserinfo.sec.gov/firm/summary/323432,High,,,,www.hampshirefamilyoffice.com,http://www.hampshirefamilyoffice.com,,,,212-365-7624,2026-07-26,212-365-7624,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/323432,"SEC Form ADV bulk roster, CRD 323432",Named principal + firm-level contact,GREG BLANEY REIDY,FOUNDER/MANAGING DIRECTOR AND CHIEF COMPLIANCE OFFICER,,,,,,,,,Form ADV amendment filed 03/31/2026,https://reports.adviserinfo.sec.gov/reports/ADV/323432/PDF/323432.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 3 page(s) at http://www.hampshirefamilyoffice.com, LLM extraction filled: description. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
aurelius-family-office-llc,"AURELIUS FAMILY OFFICE, LLC",Yes,Multi-Family Office,Affirmative multi-family language found: 'holds.\nContact Us\nWho We Serve\nProudly Serving High-Net-Worth Families Across the U.S\nOur main office is based',,,,,Could not verify,,,,Could not verify,,,"$315,255,207 (Regulatory AUM per Form ADV Item 5.F, reporting date 03/04/2026; 167 total accounts)",https://adviserinfo.sec.gov/firm/summary/323016,High,BEDFORD,NH,United States,aurelius.net,https://aurelius.net/,info@aurelius.net,2026-07-26,info@aurelius.net,603-413-6060,2026-07-26,603-413-6060,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/323016,"SEC Form ADV bulk roster, CRD 323016",Named principal + firm-level contact,MARK ANDREW WITASCHEK,MEMBER,,,,,,,,,Form ADV amendment filed 03/04/2026,https://reports.adviserinfo.sec.gov/reports/ADV/323016/PDF/323016.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Website domain guess: tried ['aurelius.com', 'aurelius.net', 'aurelius.org']; fetched 3 page(s) at https://aurelius.net/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
cambient-family-office-llc,"CAMBIENT FAMILY OFFICE, LLC",Yes,Multi-Family Office,Affirmative multi-family language found: 'Multi-Family Office &amp; Wealth Planning – Cambient\nSkip t',,,,,Could not verify,,,,Could not verify,,,"$857,939,726 (Regulatory AUM per Form ADV Item 5.F, reporting date 03/31/2026; 260 total accounts)",https://adviserinfo.sec.gov/firm/summary/335128,High,ADA,MI,United States,www.cambient.com,https://www.cambient.com/,info@cambient.com,2026-07-26,info@cambient.com,(616) 330-2270,2026-07-26,(616) 330-2270,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/335128,"SEC Form ADV bulk roster, CRD 335128",Named principal + firm-level contact,Andrew Harold Fabiano,CHIEF INVESTMENT OFFICER,,,,Joshua Kirk Gibbs,CHIEF OPERATING OFFICER AND CHIEF COMPLIANCE OFFICER,,,,Form ADV amendment filed 03/31/2026,https://reports.adviserinfo.sec.gov/reports/ADV/335128/PDF/335128.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 2 page(s) at https://www.cambient.com/, LLM extraction filled: nothing (page(s) matched but had no extractable/evidence-supported fields). Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
sestante-family-office,SESTANTE FAMILY OFFICE,Yes,Multi-Family Office,"Affirmative multi-family language found: 'onal Living\nAs a discreet and exclusive multi-family office, we provide high-touch services to ultr'",,,,,Could not verify,,,,Could not verify,Investment advisory services,https://www.sestante.com/who-we-are/,"$433,884,051 (Regulatory AUM per Form ADV Item 5.F, reporting date 04/22/2026; 16 total accounts)",https://adviserinfo.sec.gov/firm/summary/335152,High,CORONADO,CA,United States,www.sestante.com,https://www.sestante.com,,,,619-268-6279,2026-07-26,619-268-6279,SEC Form ADV Bulk Data,https://adviserinfo.sec.gov/firm/summary/335152,"SEC Form ADV bulk roster, CRD 335152",Named principal + firm-level contact,DANIEL JEROME WHITE,"CHIEF COMPLIANCE OFFICER, CO-FOUNDER, MANAGING PARTNER",,,,BENJAMIN WILLIAM WHITE,"CO-FOUNDER, MANAGING PARTNER",,,,Form ADV amendment filed 04/22/2026,https://reports.adviserinfo.sec.gov/reports/ADV/335152/PDF/335152.pdf,,,"Enriched from Form ADV bulk CSV only (deterministic parse, no LLM). Address/phone/website taken directly from the filing. Item 5D/5F client-type and AUM columns exist in the source data but were NOT used to set aum or classification — this project does not have the ADV Part 1A form instructions on hand to confirm their exact column semantics with confidence, and an unverified AUM figure is worse than a blank one. Description/investment thesis/sectors/AUM and classification all require a second enrichment pass (firm website / press) before this record can qualify for delivery. Using known website (already on file, not guessed): fetched 2 page(s) at https://www.sestante.com, LLM extraction filled: sectors. Principal name(s)/title(s), where present, come from that same filing's Schedule A (parsed from the firm's own ADV PDF report at reports.adviserinfo.sec.gov) — no email/phone was constructed for them, since Schedule A carries no contact info, only name/title/ownership."
