firm_id,name,discovery_source,rejected_reason
family-wealth-partners-llc,"FAMILY WEALTH PARTNERS, LLC",SEC EDGAR 13F Filer List,"Class C spot-check (2026-07-26): filed legal name says 'Family Wealth Partners', not 'Family Office' -- adjacent wording, does not assert family-office status. No website, no description, no other evidence beyond Form ADV Item 5.D client-structure numbers, which this project's own rule treats as corroborating rather than independent evidence. Dropped rather than downgraded to 'Subtype unconfirmed', since that label implies confirmed family-office status which this record never had."
forthright-family-wealth-advisory-llc,Forthright Family Wealth Advisory LLC,SEC EDGAR 13F Filer List,"Class C spot-check (2026-07-26): filed legal name says 'Family Wealth Advisory', not 'Family Office' -- adjacent wording, does not assert family-office status. No website, no description, no other evidence beyond Form ADV Item 5.D client-structure numbers. Dropped for the same reason as family-wealth-partners-llc."
carlson,Carlson,Wikidata,"Systemic Wikidata expansion (2026-07-26): P452 (industry) = Q751314 (family office) verified live, but Wikidata's own description reads 'American privately held international corporation in the hotel and travel industries' -- this is Carlson Companies, the hospitality/travel conglomerate (Radisson, TGI Fridays, Carlson Wagonlit Travel), not a family office by its own primary description. Rejected as a likely secondary/ancillary industry-tag artifact on a large diversified holding company, not a genuine family-office business identity."
alpha-family-trust,Alpha Family Trust,SEC EDGAR 13F Filer List,"Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. No ADV match found by name (1 IAPD hit, not an exact match). No website resolved (domain-guess failed). No affirmative evidence available via any channel checked -- does not qualify."
american-family-investments-inc,"American Family Investments, Inc.",SEC EDGAR 13F Filer List,Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. No exact ADV match among 20 IAPD hits. No website resolved. Does not qualify.
family-capital-management-inc,"Family Capital Management, Inc.",SEC EDGAR 13F Filer List,"Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. ADV match found (CRD 111230) -- Item 5.D reports 131 High Net Worth Individual clients (above this project's 60-client plausibility ceiling) AND 5 charitable-organization clients + 3 corporate clients (nonzero institutional categories, disqualifying on structure alone per this project's rule). Self-disclosed website (familycapitalmgt.com, ADV Item 1.I) fetched and run through the classifier with both guards: reads as a generic financial-planning practice, no affirmative single/multi-family language found. Does not qualify on any evidence checked."
family-capital-trust-co,Family Capital Trust Co,SEC EDGAR 13F Filer List,Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. No exact ADV match among 20 IAPD hits. No website resolved. Does not qualify.
safe-harbor-family-capital-llc,"Safe Harbor Family Capital, LLC",SEC EDGAR 13F Filer List,"Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. ADV match found (CRD 317547) -- Item 5.D reports 10 High Net Worth Individual clients (within range) BUT 2 charitable-organization clients (nonzero institutional category, disqualifying on structure alone). ADV Item 1.I states 'No Information Filed' for website -- nothing to crawl. Does not qualify."
tlt-family-holdco-ulc,TLT Family Holdco ULC,SEC EDGAR 13F Filer List,"Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. No ADV match (0 IAPD hits -- likely a non-US/Canadian holding company, 'ULC' suffix). No website resolved. Does not qualify."
west-family-investments-inc,"West Family Investments, Inc.",SEC EDGAR 13F Filer List,Terminology-driven 13F expansion (2026-07-26): passed entity-type filter. No exact ADV match among 20 IAPD hits. No website resolved. Does not qualify.
