firm_id,field,attempted_value,reason
rahul-guhathakurta-huf-office,firm_email,guhathakurta.com,failed syntax check
tfo-family-office-partners,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
arrowroot-family-office-llc,firm_email,info@arrowrootadvisors.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
element-pointe-family-office,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
compound-family-offices-llc,firm_email,Info@CompoundFamilyOffices.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
collective-family-office-llc,firm_email,Info@CollectiveFO.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
collective-family-office-llc,firm_email,Trevor.Hoffman@CollectiveFO.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
collective-family-office-llc,firm_email,Brian.Luster@CollectiveFO.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
collective-family-office-llc,firm_email,Lisa.Fetrow@CollectiveFO.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
collective-family-office-llc,firm_email,David.Sivel@CollectiveFO.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
alpha-capital-family-office-llc,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
hampshire-family-office,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
aurelius-family-office-llc,firm_email,info@aurelius.net,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
cambient-family-office-llc,firm_email,info@cambient.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
sestante-family-office,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
xception-family-office,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
destiny-family-office,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
pulliam-family-office-llc,firm_email,admin@pulliamfamilyoffice.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
pointone-family-office,firm_email,info@p1fo.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
jarrow-capital,firm_email,,contact-page pass: homepage/contact/about fetch failed (DNS resolution error)
revisio-family-office,firm_email,info@revisio-family.de,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
redwood-holdings,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
prime-opportunities-investment-group,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
korys,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
fundus-heritage-ventures,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
blanck-capital,firm_email,jason@blanckcapital.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
fundus-heritage,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
rahul-guhathakurta-huf-office,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
builders-vision,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
dfo-management,firm_email,inquiries@dellfamilyoffice.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
stenger-family-office-llc,firm_email,nick.stenger@stengerfamilyoffice.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
stenger-family-office-llc,firm_email,Julia.Huebner@stengerfamilyoffice.com,"contact-page pass: found but NOT used -- no generic role mailbox on the firm's own domain (syntax OK, MX record found)"
fifth-avenue-family-office,firm_email,,"contact-page pass (corrected malformed website URL): fetched homepage/contact/about, no email address found in page text"
cherry-creek-family-offices,firm_email,,"contact-page pass (corrected malformed website URL): fetched homepage/contact/about, no email address found in page text"
eagle-bay-family-office,firm_email,michael@eaglebayadvisors.com,"contact-page pass: found initially as off-domain vs. eaglebayfamilyoffice.com; RE-VERIFIED 2026-07-26 via Item 1.I of the firm's own ADV filing, which lists eaglebayadvisors.com as a firm-controlled secondary domain -- accepted as CEO Michael Nelson's own work_email on restoration, not as firm_email"
jake-p-noch-family-office-llc,firm_email,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,"contact-page pass: rejected (syntax OK but no MX record -- telemetry address, not office contact)"
jake-p-noch-family-office-llc,firm_email,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"contact-page pass: rejected (syntax OK but no MX record -- telemetry address, not office contact)"
custos-family-office-llc,firm_email,,"contact-page pass (corrected malformed website URL): fetched homepage/contact/about, no email address found in page text"
bt-family-office-llc,firm_email,,contact-page pass skipped: no fetchable website (LinkedIn-only or unparseable)
wpa-family-office-llc,firm_email,team@wpafamilyoffice.com,"contact-page pass: accepted (generic role mailbox, MX-valid, own domain)"
founders-family-office,firm_email,,contact-page pass skipped: no fetchable website (LinkedIn-only or unparseable)
bessemer-trust,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
mayfair-verm-gensverwaltungs,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
innovative-family-office-llc,firm_email,,"contact-page pass: fetched homepage/contact/about, no email address found in page text"
legacy-road-family-offices,firm_email,,"contact-page pass (corrected malformed website URL): fetched homepage, only Wixpress/Sentry telemetry addresses found, filtered as non-office junk"
